Country / territory of asylum/residence,Origin,Value
United States of America,Israel,3
United States of America,Jordan,3
United States of America,Cambodia,16049
United States of America,Lao People's Dem. Rep.,64245
United States of America,Lao People's Dem. Rep.,12
United States of America,Lebanon,287
United States of America,Liberia,48
United States of America,Libya,315
United States of America,Sri Lanka,16
United States of America,Lithuania,4
United States of America,Myanmar,13
United States of America,Mozambique,28
United States of America,Namibia,11
United States of America,Nigeria,1
United States of America,Nicaragua,15691
United States of America,Pakistan,97
United States of America,Panama,616
United States of America,Peru,53
United States of America,Philippines,4
United States of America,Poland,17674
United States of America,Romania,16622
United States of America,Russian Federation,115686
United States of America,Rwanda,1
United States of America,Sudan,44
United States of America,El Salvador,1035
United States of America,Somalia,446
United States of America,Serbia and Kosovo (S/RES/1244 (1999)),63
United States of America,Suriname,19
United States of America,Syrian Arab Rep.,257
United States of America,Chad,1
United States of America,Uganda,136
United States of America,Viet Nam,137577
United States of America,Various/Unknown,767
United States of America,South Africa,187
Venezuela (Bolivarian Republic of),Chile,370
Venezuela (Bolivarian Republic of),Chile,130
Venezuela (Bolivarian Republic of),Cuba,970
Venezuela (Bolivarian Republic of),Cuba,430
Venezuela (Bolivarian Republic of),Haiti,130
Venezuela (Bolivarian Republic of),Nicaragua,150
Venezuela (Bolivarian Republic of),Various/Unknown,130
Viet Nam,Cambodia,21150
Yemen,Ethiopia,1118
Yemen,Somalia,1770
Yemen,Viet Nam,50
Zambia,Angola,99083
Zambia,Dem. Rep. of the Congo,9100
Zambia,Dem. Rep. of the Congo,80
Zambia,Mozambique,23377
Zambia,Namibia,140
Zambia,Namibia,2770
Zambia,Various/Unknown,3050
Zambia,Various/Unknown,60
Zambia,South Africa,3299
Zimbabwe,Mozambique,190590
Zimbabwe,South Africa,360
